x values,y values
2022-11-18,177.8950045
2022-11-21,177.32833383333332
2022-11-22,177.06083208333334
2022-11-23,176.87683228333336
2022-11-25,176.90119764000002
2022-11-28,176.10177200133333
2022-11-29,175.36196198493332
2022-11-30,176.05498712525335
2022-12-01,177.401745222304
2022-12-02,176.9657406664981
2022-12-05,175.55049500281106
2022-12-06,176.26959477832264
2022-12-07,178.58116508952634
2022-12-08,178.18625077413202
2022-12-09,179.17940232839618
2022-12-12,183.6713644384109
2022-12-13,188.74540410818784
2022-12-14,193.11523337499898
2022-12-15,194.38039938431956
2022-12-16,193.04820737350127
2022-12-19,194.27876922656395
2022-12-20,198.67547779687695
2022-12-21,200.50249267938844
2022-12-22,200.00934714056586
2022-12-23,195.81746232336624
2022-12-27,190.9038608286641
2022-12-28,188.22813465851925
2022-12-29,186.40389296210992
2022-12-30,185.76117848985865
2023-01-03,183.52264142209756
2023-01-04,181.08954457481326
2023-01-05,181.4266748973539
2023-01-06,182.10777217885294
2023-01-09,183.17879913020403
2023-01-10,184.36464924128217
2023-01-11,184.25424311006782
2023-01-12,184.95453949631082
2023-01-13,188.35808836953214
2023-01-17,190.81977679518215
2023-01-18,190.18848353220503
2023-01-19,190.51527113938386
2023-01-20,191.9927068933542
2023-01-23,192.57129311298863
2023-01-24,192.76785322914535
2023-01-25,192.73437004709763
2023-01-26,191.4427032778463
2023-01-27,188.13498451081787
2023-01-30,184.70241096715236
2023-01-31,182.47601795116333
2023-02-01,180.29068248582672
2023-02-02,178.43782248082852
2023-02-03,176.68890278356372
2023-02-06,175.0014809500438
2023-02-07,173.2976414428872
2023-02-08,171.20360483529893
2023-02-09,170.446544645646
2023-02-10,170.91355718476643
2023-02-13,171.32474073314228
2023-02-14,171.78496951271092
2023-02-15,170.01865488612393
2023-02-16,168.27567302639542
2023-02-17,167.13586068504605
2023-02-21,163.9020381195131
2023-02-22,158.71471336619092
2023-02-23,153.96052303415001
2023-02-24,150.8734565039708
2023-02-27,148.04173918086235
2023-02-28,145.32514374379664
2023-03-01,143.65606668572596
2023-03-02,143.80058912207696
2023-03-03,143.9723603103199
2023-03-06,143.10580442362456
2023-03-07,142.6477507712043
2023-03-08,141.76518130102977
2023-03-09,140.61374789917176
2023-03-10,142.49933619428117
2023-03-13,144.54765327889655
2023-03-14,145.24214807446987
2023-03-15,146.77582670952953
2023-03-16,147.6991242125792
2023-03-17,148.8534173993157
2023-03-20,150.2356718642849
2023-03-21,150.00364189523594
2023-03-22,149.7505468317673
2023-03-23,149.90597371825766
2023-03-24,149.48803228905217
2023-03-27,149.22490976781543
2023-03-28,149.56378255502506
2023-03-29,149.39934512237852
2023-03-30,150.0416082890438
2023-03-31,152.34294859328946
2023-04-03,153.35678040094234
2023-04-04,153.30626605665515
2023-04-05,154.80119901017738
2023-04-06,154.77884769355495
2023-04-10,154.3332623520775
2023-04-11,155.374663211162
2023-04-12,156.2093542513589
2023-04-13,156.49345656291968
2023-04-14,153.73549600508812
2023-04-17,150.40166276387336
2023-04-18,148.72012326637622
2023-04-19,147.05345420706755
2023-04-20,145.61104604746342
2023-04-21,144.07692470418144
2023-04-24,141.9362855917425
2023-04-25,139.46485066867746
2023-04-26,137.28161059292026
2023-04-27,136.14454797066804
2023-04-28,135.68020084645315
2023-05-01,134.62727168200826
2023-05-02,134.1804034998259
2023-05-03,134.61357260565745
2023-05-04,134.8622493574983
2023-05-05,134.27524529259634
2023-05-08,133.95821225115043
2023-05-09,133.72514118024904
2023-05-10,132.28571994479915
2023-05-11,131.4338140752397
2023-05-12,131.1029334400576
2023-05-15,129.6884924920193
2023-05-16,128.47904760146332
2023-05-17,128.27409430670804
2023-05-18,127.77432688003815
2023-05-19,127.4534933576419
2023-05-22,130.2363829088776
2023-05-23,131.33084102931153
2023-05-24,129.5021444591662
2023-05-25,129.20587487947108
2023-05-26,129.07777327358977
2023-05-30,129.0211599224454
2023-05-31,129.09896201510125
2023-06-01,129.58957904222729
2023-06-02,129.5419401959548
2023-06-05,128.76409545065667
2023-06-06,127.97912293776774
2023-06-07,127.27903191687582
2023-06-08,126.41644966106003
2023-06-09,125.65692110314072
2023-06-12,126.13648093621532
2023-06-13,126.45797074008321
2023-06-14,127.04027395588784
2023-06-15,127.67694512643727
2023-06-16,126.49503856448166
2023-06-20,125.14245152936137
2023-06-21,124.00288644405605
2023-06-22,123.30807410757981
2023-06-23,122.82068121619946
2023-06-26,122.35432815356705
2023-06-27,122.43461709546928
2023-06-28,122.65192569304716
2023-06-29,122.4681745884167
2023-06-30,122.43894327538662
2023-07-03,122.5918089113701
2023-07-05,121.60378615503468
2023-07-06,120.70290866835828
2023-07-07,121.44170174695262
2023-07-10,122.32967951406911
2023-07-11,123.090857185876
2023-07-12,123.58044648937955
2023-07-13,122.82419563786493
2023-07-14,122.5390990626241
2023-07-17,123.00674743797371
2023-07-18,123.28800842769256
2023-07-19,123.82877198565807
2023-07-20,124.45670617026488
2023-07-21,124.2366973167231
2023-07-24,123.51443569452923
2023-07-25,123.11556843630345
2023-07-26,122.31934088951115
2023-07-27,121.37986980406876
2023-07-28,120.50695602597668
2023-07-31,118.76123294391132
2023-08-01,116.37561075479137
2023-08-02,114.63275914493587
2023-08-03,113.03792016872771
2023-08-04,110.38725801369098
2023-08-07,107.79758766547093
2023-08-08,106.73455256957791
2023-08-09,105.37587944974798
2023-08-10,103.97160493695938
2023-08-11,103.13640859125705
2023-08-14,101.33477899559288
2023-08-15,100.57855790476187
2023-08-16,101.98794909832236
2023-08-17,102.35825719973543
2023-08-18,103.88295244056394
2023-08-21,107.61383094772434
2023-08-22,109.22500731760474
2023-08-23,109.86035854117861
2023-08-24,111.01584036130153
2023-08-25,111.71624184401699
2023-08-28,112.50648854929943
2023-08-29,113.57371495092359
2023-08-30,113.689289268848
2023-08-31,113.3398985538142
2023-09-01,112.61458075471714
2023-09-05,111.40075391547586
2023-09-06,110.51704744480143
2023-09-07,109.79047762299888
2023-09-08,108.77565699665524
2023-09-11,109.65063761289112
2023-09-12,110.12135424650906
2023-09-13,110.02552857121107
2023-09-14,111.39850408612226
2023-09-15,109.61207738076845
2023-09-18,107.99922200762038
2023-09-19,107.4879608949022
2023-09-20,105.5298512566582
2023-09-21,104.26140563183617
2023-09-22,103.0738429566793
2023-09-25,102.03902036903473
2023-09-26,101.41485459151004
2023-09-27,101.28754418344481
2023-09-28,101.76628462879792
2023-09-29,101.90373728075056
2023-10-02,102.29951341859865
2023-10-03,102.85590666562943
2023-10-04,102.47783027299575
2023-10-05,102.39865007144476
2023-10-06,102.482477402014
2023-10-09,102.8537907492909
2023-10-10,102.93898344454992
2023-10-11,102.05505031917096
2023-10-12,100.62956550260236
2023-10-13,98.26071985326465
2023-10-16,95.3750671350076
2023-10-17,93.12507069817492
2023-10-18,90.94017053728943
2023-10-19,88.14406147409439
2023-10-20,86.03386054191175
2023-10-23,84.49561871065912
2023-10-24,82.79070934533306
2023-10-25,81.19003871958077
2023-10-26,79.25127315511459
2023-10-27,77.60440444400568
2023-10-30,77.23514426374022
2023-10-31,74.73216417257211
2023-11-01,73.4023413760636
2023-11-02,75.29992936247518
2023-11-03,74.73888738222217
2023-11-06,73.8622322241522
2023-11-07,73.85820979376992
2023-11-08,72.75986508002886
2023-11-09,71.93406021959018
2023-11-10,72.3524268186778
2023-11-13,73.02527082365935
2023-11-14,73.58435177238546
2023-11-15,73.77801285368065
2023-11-16,73.46254514990848
